Province/State	Country/Region	Last Update	Confirmed	Deaths	Recovered
Alabama	US	3/28/2020 23:05	6	0	0
North Carolina	US	3/28/2020 23:05	0	0	0
Louisiana	US	3/28/2020 23:05	12	0	0
Colorado	US	3/28/2020 23:05	1	0	0
Georgia	US	3/28/2020 23:05	0	0	0
Texas	US	3/28/2020 23:05	0	0	0
Florida	US	3/28/2020 23:05	7	0	0
Georgia	US	3/28/2020 23:05	1	1	0
Oregon	US	3/28/2020 23:05	0	0	0
Alabama	US	3/28/2020 23:05	10	0	0
Georgia	US	3/28/2020 23:05	2	0	0
Kentucky	US	3/28/2020 23:05	0	0	0
Maryland	US	3/28/2020 23:05	141	1	0
Maryland	US	3/28/2020 23:05	112	0	0
South Carolina	US	3/28/2020 23:05	0	0	0
Texas	US	3/28/2020 23:05	0	0	0
Georgia	US	3/28/2020 23:05	0	0	0
Nebraska	US	3/28/2020 23:05	0	0	0
Idaho	US	3/28/2020 23:05	3	0	0
Michigan	US	3/28/2020 23:05	0	0	0
Kansas	US	3/28/2020 23:05	0	0	0
Alabama	US	3/28/2020 23:05	0	0	0
West Virginia	US	3/28/2020 23:05	0	0	0
North Dakota	US	3/28/2020 23:05	2	0	0
Massachusetts	US	3/28/2020 23:05	133	2	0
South Carolina	US	3/28/2020 23:05	0	0	0
Kentucky	US	3/28/2020 23:05	0	0	0
Wisconsin	US	3/28/2020 23:05	0	0	0
Georgia	US	3/28/2020 23:05	7	1	0
Michigan	US	3/28/2020 23:05	1	0	0
Missouri	US	3/28/2020 23:05	1	0	0
Indiana	US	3/28/2020 23:05	7	0	0
Kansas	US	3/28/2020 23:05	0	0	0
Missouri	US	3/28/2020 23:05	0	0	0
Georgia	US	3/28/2020 23:05	116	1	0
Texas	US	3/28/2020 23:05	4	0	0
Missouri	US	3/28/2020 23:05	1	0	0
Kentucky	US	3/28/2020 23:05	0	0	0
Virginia	US	3/28/2020 23:05	0	0	0
Arkansas	US	3/28/2020 23:05	1	0	0
Florida	US	3/28/2020 23:05	5	0	0
Michigan	US	3/28/2020 23:05	4	0	0
Wisconsin	US	3/28/2020 23:05	2	0	0
Texas	US	3/28/2020 23:05	0	0	0
South Dakota	US	3/28/2020 23:05	16	0	0
Idaho	US	3/28/2020 23:05	0	0	0
North Carolina	US	3/28/2020 23:05	3	0	0
South Carolina	US	3/28/2020 23:05	39	0	0
Louisiana	US	3/28/2020 23:05	4	0	0
Oklahoma	US	3/28/2020 23:05	0	0	0
Pennsylvania	US	3/28/2020 23:05	22	0	0
Utah	US	3/28/2020 23:05	0	0	0
Montana	US	3/28/2020 23:05	0	0	0
Minnesota	US	3/28/2020 23:05	0	0	0
Oklahoma	US	3/28/2020 23:05	0	0	0
Pennsylvania	US	3/28/2020 23:05	0	0	0
Tennessee	US	3/28/2020 23:05	1	0	0
Virginia	US	3/28/2020 23:05	3	0	0
Texas	US	3/28/2020 23:05	0	0	0
New Hampshire	US	3/28/2020 23:05	9	0	0
Kentucky	US	3/28/2020 23:05	0	0	0
Texas	US	3/28/2020 23:05	28	1	0
Ohio	US	3/28/2020 23:05	8	0	0
Minnesota	US	3/28/2020 23:05	2	0	0
Georgia	US	3/28/2020 23:05	2	0	0
Idaho	US	3/28/2020 23:05	0	0	0
South Dakota	US	3/28/2020 23:05	0	0	0
Vermont	US	3/28/2020 23:05	15	0	0
North Dakota	US	3/28/2020 23:05	0	0	0
Colorado	US	3/28/2020 23:05	0	0	0
Arkansas	US	3/28/2020 23:05	28	0	0
Indiana	US	3/28/2020 23:05	0	0	0
Iowa	US	3/28/2020 23:05	4	0	0
Minnesota	US	3/28/2020 23:05	1	0	0
Mississippi	US	3/28/2020 23:05	2	0	0
Missouri	US	3/28/2020 23:05	1	0	0
Oregon	US	3/28/2020 23:05	8	0	0
Tennessee	US	3/28/2020 23:05	3	0	0
Washington	US	3/28/2020 23:05	42	5	0
Michigan	US	3/28/2020 23:05	0	0	0
New Jersey	US	3/28/2020 23:05	1838	13	0
South Carolina	US	3/28/2020 23:05	13	0	0
West Virginia	US	3/28/2020 23:05	9	0	0
Pennsylvania	US	3/28/2020 23:05	65	0	0
Massachusetts	US	3/28/2020 23:05	119	2	0
New Mexico	US	3/28/2020 23:05	93	0	0
Georgia	US	3/28/2020 23:05	0	0	0
Michigan	US	3/28/2020 23:05	22	0	0
North Carolina	US	3/28/2020 23:05	3	0	0
Alaska	US	3/28/2020 23:05	0	0	0
Texas	US	3/28/2020 23:05	125	5	0
Alabama	US	3/28/2020 23:05	0	0	0
Georgia	US	3/28/2020 23:05	11	0	0
Louisiana	US	3/28/2020 23:05	3	1	0
Montana	US	3/28/2020 23:05	0	0	0
Wyoming	US	3/28/2020 23:05	0	0	0
Minnesota	US	3/28/2020 23:05	1	0	0
North Dakota	US	3/28/2020 23:05	0	0	0
Idaho	US	3/28/2020 23:05	1	0	0
Iowa	US	3/28/2020 23:05	6	0	0
Indiana	US	3/28/2020 23:05	0	0	0
North Carolina	US	3/28/2020 23:05	0	0	0
Idaho	US	3/28/2020 23:05	99	2	0
Montana	US	3/28/2020 23:05	0	0	0
Nebraska	US	3/28/2020 23:05	0	0	0
Oklahoma	US	3/28/2020 23:05	0	0	0
Pennsylvania	US	3/28/2020 23:05	2	0	0
Texas	US	3/28/2020 23:05	1	0	0
Virginia	US	3/28/2020 23:05	0	0	0
Georgia	US	3/28/2020 23:05	0	0	0
Tennessee	US	3/28/2020 23:05	2	0	0
Alabama	US	3/28/2020 23:05	5	0	0
Tennessee	US	3/28/2020 23:05	9	0	0
Minnesota	US	3/28/2020 23:05	7	0	0
Idaho	US	3/28/2020 23:05	0	0	0
Mississippi	US	3/28/2020 23:05	11	0	0
Missouri	US	3/28/2020 23:05	1	0	0
South Dakota	US	3/28/2020 23:05	1	0	0
Illinois	US	3/28/2020 23:05	0	0	0
Idaho	US	3/28/2020 23:05	0	0	0
Idaho	US	3/28/2020 23:05	1	0	0
Arkansas	US	3/28/2020 23:05	1	0	0
Illinois	US	3/28/2020 23:05	0	0	0
Indiana	US	3/28/2020 23:05	8	0	0
Iowa	US	3/28/2020 23:05	1	0	0
Kentucky	US	3/28/2020 23:05	5	0	0
Missouri	US	3/28/2020 23:05	49	1	0
Nebraska	US	3/28/2020 23:05	0	0	0
West Virginia	US	3/28/2020 23:05	0	0	0
Texas	US	3/28/2020 23:05	0	0	0
Texas	US	3/28/2020 23:05	0	0	0
Louisiana	US	3/28/2020 23:05	45	0	0
Virginia	US	3/28/2020 23:05	1	0	0
North Dakota	US	3/28/2020 23:05	0	0	0
Colorado	US	3/28/2020 23:05	76	1	0
Idaho	US	3/28/2020 23:05	0	0	0
Kansas	US	3/28/2020 23:05	3	0	0
Kentucky	US	3/28/2020 23:05	2	1	0
Texas	US	3/28/2020 23:05	3	0	0
North Dakota	US	3/28/2020 23:05	0	0	0
Nebraska	US	3/28/2020 23:05	0	0	0
Utah	US	3/28/2020 23:05	4	0	0
Kentucky	US	3/28/2020 23:05	0	0	0
Nebraska	US	3/28/2020 23:05	0	0	0
Kentucky	US	3/28/2020 23:05	0	0	0
Kentucky	US	3/28/2020 23:05	0	0	0
Florida	US	3/28/2020 23:05	1	0	0
Pennsylvania	US	3/28/2020 23:05	3	0	0
Arkansas	US	3/28/2020 23:05	4	0	0
Tennessee	US	3/28/2020 23:05	5	0	0
Michigan	US	3/28/2020 23:05	0	0	0
Georgia	US	3/28/2020 23:05	0	0	0
West Virginia	US	3/28/2020 23:05	0	0	0
Texas	US	3/28/2020 23:05	61	0	0
Texas	US	3/28/2020 23:05	40	1	0
Kentucky	US	3/28/2020 23:05	2	0	0
Kentucky	US	3/28/2020 23:05	0	0	0
Iowa	US	3/28/2020 23:05	0	0	0
Florida	US	3/28/2020 23:05	26	0	0
Texas	US	3/28/2020 23:05	0	0	0
Texas	US	3/28/2020 23:05	0	0	0
Massachusetts	US	3/28/2020 23:05	179	1	0
Rhode Island	US	3/28/2020 23:05	6	0	0
Virginia	US	3/28/2020 23:05	1	0	0
Alaska	US	3/28/2020 23:05	0	0	0
Montana	US	3/28/2020 23:05	2	0	0
New York	US	3/28/2020 23:05	0	0	0
West Virginia	US	3/28/2020 23:05	0	0	0
South Dakota	US	3/28/2020 23:05	1	0	0
Georgia	US	3/28/2020 23:05	0	0	0
Texas	US	3/28/2020 23:05	0	0	0
New York	US	3/28/2020 23:05	23	3	0
Colorado	US	3/28/2020 23:05	13	0	0
Florida	US	3/28/2020 23:05	814	10	0
Illinois	US	3/28/2020 23:05	0	0	0
Indiana	US	3/28/2020 23:05	2	0	0
Kansas	US	3/28/2020 23:05	0	0	0
Minnesota	US	3/28/2020 23:05	0	0	0
Nebraska	US	3/28/2020 23:05	0	0	0
Ohio	US	3/28/2020 23:05	0	0	0
South Dakota	US	3/28/2020 23:05	2	0	0
Texas	US	3/28/2020 23:05	3	0	0
Wisconsin	US	3/28/2020 23:05	6	0	0
South Dakota	US	3/28/2020 23:05	0	0	0
North Carolina	US	3/28/2020 23:05	12	0	0
Virginia	US	3/28/2020 23:05	0	0	0
Georgia	US	3/28/2020 23:05	6	0	0
Oklahoma	US	3/28/2020 23:05	1	0	0
Iowa	US	3/28/2020 23:05	2	0	0
Missouri	US	3/28/2020 23:05	3	0	0
Virginia	US	3/28/2020 23:05	0	0	0
Virginia	US	3/28/2020 23:05	0	0	0
Pennsylvania	US	3/28/2020 23:05	152	0	0
Iowa	US	3/28/2020 23:05	0	0	0
Virginia	US	3/28/2020 23:05	0	0	0
Nebraska	US	3/28/2020 23:05	4	0	0
South Dakota	US	3/28/2020 23:05	0	0	0
Wisconsin	US	3/28/2020 23:05	0	0	0
Kentucky	US	3/28/2020 23:05	0	0	0
Georgia	US	3/28/2020 23:05	0	0	0
Alabama	US	3/28/2020 23:05	3	0	0
North Carolina	US	3/28/2020 23:05	17	0	0
Illinois	US	3/28/2020 23:05	1	0	0
Georgia	US	3/28/2020 23:05	3	0	0
North Carolina	US	3/28/2020 23:05	4	0	0
North Dakota	US	3/28/2020 23:05	0	0	0
North Dakota	US	3/28/2020 23:05	28	0	0
Texas	US	3/28/2020 23:05	1	0	0
New Jersey	US	3/28/2020 23:05	115	0	0
Texas	US	3/28/2020 23:05	1	0	0
Wisconsin	US	3/28/2020 23:05	0	0	0
Nebraska	US	3/28/2020 23:05	0	0	0
Alabama	US	3/28/2020 23:05	1	0	0
Iowa	US	3/28/2020 23:05	1	0	0
Kansas	US	3/28/2020 23:05	3	0	0
Kentucky	US	3/28/2020 23:05	0	0	0
Missouri	US	3/28/2020 23:05	0	0	0
Nebraska	US	3/28/2020 23:05	0	0	0
Ohio	US	3/28/2020 23:05	25	0	0
Pennsylvania	US	3/28/2020 23:05	41	2	0
California	US	3/28/2020 23:05	5	0	0
Idaho	US	3/28/2020 23:05	0	0	0
South Dakota	US	3/28/2020 23:05	0	0	0
Georgia	US	3/28/2020 23:05	5	0	0
North Carolina	US	3/28/2020 23:05	31	2	0
West Virginia	US	3/28/2020 23:05	0	0	0
Utah	US	3/28/2020 23:05	5	0	0
Louisiana	US	3/28/2020 23:05	189	2	0
Oklahoma	US	3/28/2020 23:05	1	0	0
California	US	3/28/2020 23:05	3	0	0
Louisiana	US	3/28/2020 23:05	28	1	0
Kentucky	US	3/28/2020 23:05	0	0	0
Louisiana	US	3/28/2020 23:05	0	0	0
Missouri	US	3/28/2020 23:05	0	0	0
North Carolina	US	3/28/2020 23:05	3	0	0
Texas	US	3/28/2020 23:05	1	0	0
Vermont	US	3/28/2020 23:05	2	0	0
Alabama	US	3/28/2020 23:05	3	0	0
Arkansas	US	3/28/2020 23:05	0	0	0
Florida	US	3/28/2020 23:05	0	0	0
Georgia	US	3/28/2020 23:05	2	0	0
Illinois	US	3/28/2020 23:05	0	0	0
Iowa	US	3/28/2020 23:05	0	0	0
Michigan	US	3/28/2020 23:05	11	0	0
Mississippi	US	3/28/2020 23:05	3	0	0
South Carolina	US	3/28/2020 23:05	1	0	0
Texas	US	3/28/2020 23:05	3	0	0
West Virginia	US	3/28/2020 23:05	0	0	0
Texas	US	3/28/2020 23:05	0	0	0
Missouri	US	3/28/2020 23:05	6	0	0
Kentucky	US	3/28/2020 23:05	1	0	0
Wisconsin	US	3/28/2020 23:05	1	0	0
Maryland	US	3/28/2020 23:05	8	0	0
Idaho	US	3/28/2020 23:05	0	0	0
Pennsylvania	US	3/28/2020 23:05	1	0	0
Georgia	US	3/28/2020 23:05	2	0	0
Missouri	US	3/28/2020 23:05	4	0	0
New Jersey	US	3/28/2020 23:05	123	1	0
North Carolina	US	3/28/2020 23:05	0	0	0
Louisiana	US	3/28/2020 23:05	0	0	0
Pennsylvania	US	3/28/2020 23:05	1	0	0
Texas	US	3/28/2020 23:05	13	0	0
Texas	US	3/28/2020 23:05	0	0	0
Kentucky	US	3/28/2020 23:05	3	0	0
South Dakota	US	3/28/2020 23:05	0	0	0
Tennessee	US	3/28/2020 23:05	4	0	0
Virginia	US	3/28/2020 23:05	0	0	0
Wyoming	US	3/28/2020 23:05	1	0	0
Oklahoma	US	3/28/2020 23:05	11	0	0
Georgia	US	3/28/2020 23:05	0	0	0
Tennessee	US	3/28/2020 23:05	3	0	0
Idaho	US	3/28/2020 23:05	23	1	0
Missouri	US	3/28/2020 23:05	5	0	0
New Jersey	US	3/28/2020 23:05	7	0	0
Montana	US	3/28/2020 23:05	0	0	0
Pennsylvania	US	3/28/2020 23:05	3	0	0
Utah	US	3/28/2020 23:05	0	0	0
Wyoming	US	3/28/2020 23:05	3	0	0
Idaho	US	3/28/2020 23:05	0	0	0
Kentucky	US	3/28/2020 23:05	0	0	0
Minnesota	US	3/28/2020 23:05	0	0	0
Maryland	US	3/28/2020 23:05	1	0	0
Virginia	US	3/28/2020 23:05	0	0	0
Arkansas	US	3/28/2020 23:05	0	0	0
Georgia	US	3/28/2020 23:05	64	0	0
Illinois	US	3/28/2020 23:05	1	0	0
Indiana	US	3/28/2020 23:05	1	0	0
Iowa	US	3/28/2020 23:05	1	0	0
Kentucky	US	3/28/2020 23:05	0	0	0
Maryland	US	3/28/2020 23:05	10	0	0
Mississippi	US	3/28/2020 23:05	0	0	0
Missouri	US	3/28/2020 23:05	0	0	0
New Hampshire	US	3/28/2020 23:05	8	0	0
Ohio	US	3/28/2020 23:05	3	0	0
Tennessee	US	3/28/2020 23:05	4	0	0
Virginia	US	3/28/2020 23:05	0	0	0
Texas	US	3/28/2020 23:05	0	0	0
Nevada	US	3/28/2020 23:05	5	0	0
Kentucky	US	3/28/2020 23:05	0	0	0
Missouri	US	3/28/2020 23:05	2	0	0
Montana	US	3/28/2020 23:05	0	0	0
Oklahoma	US	3/28/2020 23:05	1	0	0
Tennessee	US	3/28/2020 23:05	1	0	0
North Carolina	US	3/28/2020 23:05	7	0	0
Minnesota	US	3/28/2020 23:05	9	0	0
Montana	US	3/28/2020 23:05	7	0	0
Kentucky	US	3/28/2020 23:05	0	0	0
Illinois	US	3/28/2020 23:05	0	0	0
Indiana	US	3/28/2020 23:05	0	0	0
Iowa	US	3/28/2020 23:05	0	0	0
Michigan	US	3/28/2020 23:05	2	0	0
Minnesota	US	3/28/2020 23:05	1	0	0
Missouri	US	3/28/2020 23:05	8	0	0
Nebraska	US	3/28/2020 23:05	2	0	0
North Dakota	US	3/28/2020 23:05	18	1	0
Texas	US	3/28/2020 23:05	2	0	0
Idaho	US	3/28/2020 23:05	1	0	0
Texas	US	3/28/2020 23:05	8	0	0
North Carolina	US	3/28/2020 23:05	1	0	0
Louisiana	US	3/28/2020 23:05	1	1	0
North Carolina	US	3/28/2020 23:05	10	0	0
Georgia	US	3/28/2020 23:05	1	0	0
New Mexico	US	3/28/2020 23:05	0	0	0
New York	US	3/28/2020 23:05	1	0	0
North Dakota	US	3/28/2020 23:05	0	0	0
New York	US	3/28/2020 23:05	2	0	0
Maryland	US	3/28/2020 23:05	13	0	0
Iowa	US	3/28/2020 23:05	6	0	0
Missouri	US	3/28/2020 23:05	0	0	0
Nebraska	US	3/28/2020 23:05	0	0	0
Pennsylvania	US	3/28/2020 23:05	15	0	0
Iowa	US	3/28/2020 23:05	4	0	0
Colorado	US	3/28/2020 23:05	5	1	0
Alabama	US	3/28/2020 23:05	17	0	0
Texas	US	3/28/2020 23:05	3	0	0
Illinois	US	3/28/2020 23:05	11	0	0
Ohio	US	3/28/2020 23:05	2	0	0
Missouri	US	3/28/2020 23:05	1	0	0
Maryland	US	3/28/2020 23:05	21	0	0
Virginia	US	3/28/2020 23:05	1	0	0
South Dakota	US	3/28/2020 23:05	1	0	0
South Carolina	US	3/28/2020 23:05	108	1	0
Michigan	US	3/28/2020 23:05	4	0	0
Florida	US	3/28/2020 23:05	12	0	0
Virginia	US	3/28/2020 23:05	0	0	0
Virginia	US	3/28/2020 23:05	12	0	0
Georgia	US	3/28/2020 23:05	1	0	0
Kansas	US	3/28/2020 23:05	0	0	0
Nebraska	US	3/28/2020 23:05	0	0	0
Georgia	US	3/28/2020 23:05	15	0	0
North Carolina	US	3/28/2020 23:05	12	0	0
Georgia	US	3/28/2020 23:05	1	0	0
Georgia	US	3/28/2020 23:05	1	0	0
Kansas	US	3/28/2020 23:05	0	0	0
New York	US	3/28/2020 23:05	5	0	0
New Mexico	US	3/28/2020 23:05	7	0	0
Tennessee	US	3/28/2020 23:05	7	0	0
Michigan	US	3/28/2020 23:05	0	0	0
Washington	US	3/28/2020 23:05	13	1	0
New York	US	3/28/2020 23:05	12	0	0
New York	US	3/28/2020 23:05	8	0	0
Alabama	US	3/28/2020 23:05	1	0	0
Georgia	US	3/28/2020 23:05	52	1	0
Iowa	US	3/28/2020 23:05	0	0	0
Kansas	US	3/28/2020 23:05	2	0	0
North Carolina	US	3/28/2020 23:05	4	0	0
Oklahoma	US	3/28/2020 23:05	1	0	0
South Carolina	US	3/28/2020 23:05	0	0	0
Texas	US	3/28/2020 23:05	1	0	0
Nebraska	US	3/28/2020 23:05	0	0	0
Virginia	US	3/28/2020 23:05	7	0	0
New Hampshire	US	3/28/2020 23:05	2	0	0
Pennsylvania	US	3/28/2020 23:05	116	0	0
South Carolina	US	3/28/2020 23:05	2	0	0
Tennessee	US	3/28/2020 23:05	2	0	0
South Carolina	US	3/28/2020 23:05	4	0	0
Virginia	US	3/28/2020 23:05	12	0	0
Colorado	US	3/28/2020 23:05	0	0	0
Kansas	US	3/28/2020 23:05	0	0	0
Nebraska	US	3/28/2020 23:05	0	0	0
Iowa	US	3/28/2020 23:05	0	0	0
Mississippi	US	3/28/2020 23:05	10	0	0
Arkansas	US	3/28/2020 23:05	1	0	0
Texas	US	3/28/2020 23:05	0	0	0
Alabama	US	3/28/2020 23:05	7	0	0
Michigan	US	3/28/2020 23:05	0	0	0
Minnesota	US	3/28/2020 23:05	0	0	0
Wisconsin	US	3/28/2020 23:05	4	0	0
Minnesota	US	3/28/2020 23:05	1	0	0
Vermont	US	3/28/2020 23:05	105	4	0
Alabama	US	3/28/2020 23:05	1	0	0
Mississippi	US	3/28/2020 23:05	4	0	0
Oklahoma	US	3/28/2020 23:05	1	0	0
Montana	US	3/28/2020 23:05	0	0	0
North Carolina	US	3/28/2020 23:05	0	0	0
Illinois	US	3/28/2020 23:05	1	0	0
Kentucky	US	3/28/2020 23:05	2	0	0
Missouri	US	3/28/2020 23:05	7	0	0
Nevada	US	3/28/2020 23:05	0	0	0
New Mexico	US	3/28/2020 23:05	2	0	0
Oklahoma	US	3/28/2020 23:05	0	0	0
Florida	US	3/28/2020 23:05	14	1	0
Oregon	US	3/28/2020 23:05	36	2	0
Louisiana	US	3/28/2020 23:05	4	0	0
Mississippi	US	3/28/2020 23:05	0	0	0
Tennessee	US	3/28/2020 23:05	2	0	0
Washington	US	3/28/2020 23:05	5	0	0
Michigan	US	3/28/2020 23:05	1	0	0
South Carolina	US	3/28/2020 23:05	7	1	0
Pennsylvania	US	3/28/2020 23:05	1	0	0
Arkansas	US	3/28/2020 23:05	18	0	0
Idaho	US	3/28/2020 23:05	0	0	0
Illinois	US	3/28/2020 23:05	0	0	0
Indiana	US	3/28/2020 23:05	18	0	0
Kansas	US	3/28/2020 23:05	0	0	0
Kentucky	US	3/28/2020 23:05	2	0	0
Missouri	US	3/28/2020 23:05	0	0	0
Nevada	US	3/28/2020 23:05	443	10	0
Ohio	US	3/28/2020 23:05	2	0	0
South Dakota	US	3/28/2020 23:05	0	0	0
Washington	US	3/28/2020 23:05	82	6	0
Wisconsin	US	3/28/2020 23:05	3	0	0
Alabama	US	3/28/2020 23:05	0	0	0
Georgia	US	3/28/2020 23:05	35	2	0
Iowa	US	3/28/2020 23:05	0	0	0
Mississippi	US	3/28/2020 23:05	1	0	0
Virginia	US	3/28/2020 23:05	0	0	0
Oregon	US	3/28/2020 23:05	3	0	0
Alabama	US	3/28/2020 23:05	2	0	0
Arkansas	US	3/28/2020 23:05	0	0	0
Florida	US	3/28/2020 23:05	24	4	0
Georgia	US	3/28/2020 23:05	0	0	0
Illinois	US	3/28/2020 23:05	0	0	0
Indiana	US	3/28/2020 23:05	0	0	0
Iowa	US	3/28/2020 23:05	0	0	0
Kansas	US	3/28/2020 23:05	1	0	0
Kentucky	US	3/28/2020 23:05	0	0	0
Minnesota	US	3/28/2020 23:05	4	0	0
Mississippi	US	3/28/2020 23:05	2	0	0
Missouri	US	3/28/2020 23:05	10	0	0
Nebraska	US	3/28/2020 23:05	0	0	0
North Carolina	US	3/28/2020 23:05	0	0	0
South Dakota	US	3/28/2020 23:05	0	0	0
Tennessee	US	3/28/2020 23:05	0	0	0
Texas	US	3/28/2020 23:05	0	0	0
West Virginia	US	3/28/2020 23:05	0	0	0
Georgia	US	3/28/2020 23:05	57	1	0
Iowa	US	3/28/2020 23:05	1	0	0
Colorado	US	3/28/2020 23:05	3	0	0
Pennsylvania	US	3/28/2020 23:05	2	0	0
Idaho	US	3/28/2020 23:05	0	0	0
Minnesota	US	3/28/2020 23:05	1	0	0
Alabama	US	3/28/2020 23:05	4	0	0
Arkansas	US	3/28/2020 23:05	50	1	0
Ohio	US	3/28/2020 23:05	8	0	0
Arkansas	US	3/28/2020 23:05	5	0	0
North Carolina	US	3/28/2020 23:05	3	0	0
Oklahoma	US	3/28/2020 23:05	46	5	0
Georgia	US	3/28/2020 23:05	1	0	0
Illinois	US	3/28/2020 23:05	5	0	0
Indiana	US	3/28/2020 23:05	1	0	0
Iowa	US	3/28/2020 23:05	1	0	0
